,HOUSEID_x,PERSONID_x,R_AGE,R_HISP,R_SEX,R_RACE,WKFMHM22,HHSIZE,HHVEHCNT,HHFAMINC,URBANSIZE,URBRUR,uni_Per_ID,YOUNGCHILD,Highschool,EDU_College,HM_OWN,NONHISWHITE,Race_Black,Race_Asian,Race_White,weekday,DRVRCNT,Total_TT,Total_AT,AT_ReguHMact,TT_ReguHMact,ReguHMact,AT_WorkFromHM,TT_WorkFromHM,WorkFromHM,AT_WorkNonHM,TT_WorkNonHM,WorkNonHM,AT_School,TT_School,School,AT_Shopping,TT_Shopping,Shopping,AT_Social1,TT_Social1,Social1,AT_Social2,TT_Social2,Social2,AT_Social3,TT_Social3,Social3,AT_Social4,TT_Social4,Social4,AT_Personal_self,TT_Personal_self,Personal_self,AT_Personal_meal,TT_Personal_meal,Personal_meal,AT_Family_business,TT_Family_business,Family_business,AT_Pick_Drop,TT_Pick_Drop,Pick_Drop,HW_TIME,ln_School,ln_Shopping,ln_Social1,ln_Social2,ln_Social3,ln_Social4,ln_Personal_self,ln_Personal_meal,ln_Family_business,ln_Pick_Drop,genZ,Millennials,genX,boomers2
2024,9000096308,3,23,0,1.0,1,0,5,8,62.5,0,0,9000096308_3,0,1,0,1,1,0,0,1,1,4,60,525,0,30,30,0,0,0,525,30,555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
1833,9000088243,1,18,0,0.0,1,0,3,2,87.5,0,1,9000088243_1,0,1,0,0,1,0,0,1,1,2,195,405,0,45,45,0,0,0,375,135,510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,15,45,0,0,0,0,0,0,885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0215396778561097,0.0,0.0,1,0,0,0
1424,9000074454,2,49,0,1.0,1,0,3,3,250.0,0,0,9000074454_2,0,1,1,1,1,0,0,1,0,3,80,405,280,40,320,0,0,0,0,0,0,0,0,0,125,40,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1275,0.0,0.0528523073252756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
3650,9000165049,1,32,1,1.0,3,0,2,1,62.5,0,1,9000165049_1,0,1,0,0,0,0,1,0,1,2,25,565,0,10,10,0,0,0,555,8,563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,17,0,0,0,860,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085011421224728,0.0,0,1,0,0
1034,9000055113,1,44,1,0.0,1,1,1,2,112.5,1,1,9000055113_1,0,1,1,1,0,0,0,1,1,1,165,525,0,90,90,0,0,0,525,75,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,840,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
2444,9000107111,1,43,0,1.0,1,1,1,1,30.0,0,1,9000107111_1,0,1,0,0,1,0,0,1,1,1,7,43,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,2,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1395,0.0,0.0,0.0,0.0,0.0137882844856332,0.0,0.0,0.0,0.0,0.0,0,0,1,0
187,9000015451,1,26,0,1.0,1,0,2,2,175.0,0,1,9000015451_1,0,1,1,1,1,0,0,1,1,2,212,448,125,60,185,0,0,0,0,0,0,0,0,0,130,35,165,0,0,0,0,0,0,39,36,75,124,36,160,0,0,0,25,40,65,0,0,0,5,5,10,965,0.0,0.0685511301396271,0.0,0.0,0.0325060259549878,0.0666252091035887,0.0,0.0283099113613796,0.0,0.0044773023547442,0,1,0,0
2201,9000098452,1,28,1,1.0,1,0,6,2,20.0,0,0,9000098452_1,1,1,0,0,0,0,0,1,0,2,40,540,0,15,15,0,0,0,540,25,565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
3319,9000147559,1,82,0,1.0,1,1,2,1,62.5,1,1,9000147559_1,0,1,1,0,1,0,0,1,1,1,95,160,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,35,75,0,0,0,120,15,135,0,0,0,0,0,0,0,0,0,1230,0.0,0.0,0.0,0.0,0.0257054002349018,0.0,0.0452275399373769,0.0,0.0,0.0,0,0,0,0
4087,9000170656,2,63,0,1.0,3,0,2,2,175.0,1,1,9000170656_2,0,1,1,1,0,0,1,0,1,2,10,450,0,5,5,0,0,0,450,5,455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
453,9000046086,1,61,0,0.0,1,1,2,2,250.0,1,1,9000046086_1,0,1,1,1,1,0,0,1,1,2,35,120,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,20,140,0,0,0,0,0,0,1300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0444191397884129,0.0,0.0,0,0,0,1
1216,9000057820,1,51,0,0.0,1,0,3,6,137.5,0,0,9000057820_1,0,1,0,1,1,0,0,1,1,3,75,510,0,35,35,0,0,0,510,40,550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
1159,9000057134,1,32,1,0.0,97,1,2,2,112.5,0,1,9000057134_1,0,1,1,1,0,0,0,0,1,2,35,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,30,0,0,0,0,0,0,1410,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091433794398697,0.0,0.0,0,1,0,0
